ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
827,0.08525129770023371,,UntilizeWithUnpaddingDeviceOperation,3,10.853,,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,211971.0,
831,0.2552276020340914,,EmbeddingsDeviceOperation,3,2.696,29.796,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,212995.0,
836,0.3514603163182123,,UntilizeDeviceOperation,2,4.335,40.408,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,214018.0,
839,0.1592383955569094,,EmbeddingsDeviceOperation,3,2.656,17.616,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,215043.0,
845,0.17768214815989003,,UntilizeWithUnpaddingDeviceOperation,1,2.604,20.016,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,216065.0,
849,0.16036167350504665,,EmbeddingsDeviceOperation,1,3.29,17.125,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,217089.0,
853,0.4695616026835503,,BinaryNgDeviceOperation,1,1.424,58.354,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,218113.0,
858,0.30651348821163,,BinaryNgDeviceOperation,0,1.36,37.661,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,219136.0,
860,0.27250880123620275,,LayerNormDeviceOperation,2,6.407,28.285,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,220162.0,
863,0.3310920665313601,SLOW,MatmulDeviceOperation 128 x 128 x 768,3,3.567,38.583,32.0,91.86431174656573,17.94224838800112,7.055179142136248,7.974332616889386,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,1,3,221187.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
867,3.1218388169982276,,AllGatherAsyncDeviceOperation,0,20.92675,376.502,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,222208.0,
874,0.0984321396371168,SLOW,MatmulDeviceOperation 512 x 768 x 576,0,12.013,0.518,72.0,151.38799633730127,29.567968034629153,37.70788579039374,18.942441984146804,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,2,2,223232.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
876,0.07412848948651117,,NlpCreateHeadsDeviceOperation,2,8.759,0.678,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,224258.0,
879,0.37995072973005667,,SDPAOperation,3,28.525,19.845,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,225283.0,
886,0.03585063325383458,,NLPConcatHeadsDeviceOperation,0,4.011,0.553,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,226304.0,
889,0.186252051946028,SLOW,MatmulDeviceOperation 512 x 192 x 768,1,7.079,16.632,64.0,159.69713236332817,31.190846164712532,21.32998220087583,12.054433300371992,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,227329.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
891,0.9240767794254442,,ReduceScatterMinimalAsyncDeviceOperation,0,29.7855,87.855,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,228352.0,
895,0.17234068658832835,,BinaryNgDeviceOperation,3,2.31,19.63,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,229379.0,
901,0.3135359391601243,,BinaryNgDeviceOperation,1,2.179,37.736,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,230401.0,
903,0.30865792793080105,,LayerNormDeviceOperation,3,19.272,20.022,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,231427.0,
909,0.33030655747671867,SLOW,MatmulDeviceOperation 128 x 768 x 2048,1,32.479,9.571,32.0,70.62286400443362,13.793528125865942,12.39733932694972,14.012473016752702,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,232449.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
913,0.1440073749874122,SLOW,MatmulDeviceOperation 128 x 2048 x 768,1,17.749,0.584,32.0,129.23319623640768,25.240858639923374,22.685964505042534,25.64150718976343,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,233473.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
915,0.07774968622840812,,BinaryNgDeviceOperation,3,2.15,7.748,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,234499.0,
919,0.25648441652151766,,LayerNormDeviceOperation,3,19.38,13.272,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,235523.0,
923,0.9658933539492802,,AllGatherAsyncDeviceOperation,0,20.898,102.066,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,236544.0,
930,0.10405638446834942,SLOW,MatmulDeviceOperation 512 x 768 x 576,0,12.679,0.568,72.0,143.43591765912137,28.014827667797142,35.727173436390885,17.94743714453471,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,2,2,237568.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
932,0.0742070403919753,,NlpCreateHeadsDeviceOperation,2,8.775,0.672,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,238594.0,
937,0.36719406268267996,,SDPAOperation,1,28.402,18.344,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,239617.0,
941,0.035025848746461086,,NLPConcatHeadsDeviceOperation,1,3.921,0.538,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,240641.0,
943,0.11594899155562056,SLOW,MatmulDeviceOperation 512 x 192 x 768,3,7.019,7.742,64.0,161.0622595811369,31.457472574440803,21.512315714489244,12.157477323455382,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,241667.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
947,0.8923363223000209,,ReduceScatterMinimalAsyncDeviceOperation,0,29.62875,83.971,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,242688.0,
951,0.10000315774639965,,BinaryNgDeviceOperation,3,2.282,10.449,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,243715.0,
957,0.32696814399449264,,BinaryNgDeviceOperation,1,2.231,39.394,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,244737.0,
962,0.2833174058280687,,LayerNormDeviceOperation,0,19.327,16.741,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,245760.0,
965,0.3212653482577959,SLOW,MatmulDeviceOperation 128 x 768 x 2048,1,32.582,8.317,32.0,70.3996071450494,13.749923270517462,12.358148179976673,13.968176020843137,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,246785.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
968,0.13983632190726625,SLOW,MatmulDeviceOperation 128 x 2048 x 768,2,17.225,0.577,32.0,133.16458635703916,26.00870827285921,23.37609195936139,26.421544912110946,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,247810.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
971,0.060586313384493024,,BinaryNgDeviceOperation,3,2.132,5.581,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,248835.0,
977,0.24469392561134992,,LayerNormDeviceOperation,1,19.354,11.797,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,249857.0,
979,0.7668296493220507,,AllGatherAsyncDeviceOperation,0,21.133,76.489,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,250880.0,
983,0.09833002346001342,SLOW,MatmulDeviceOperation 512 x 768 x 576,3,11.979,0.539,72.0,151.8176809416479,29.651890808915603,37.8149120961683,18.996206324030016,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,2,2,251907.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
988,0.07517321652918425,,NlpCreateHeadsDeviceOperation,2,8.929,0.641,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,252930.0,
991,0.32415602157887635,,SDPAOperation,3,28.396,12.871,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,253955.0,
995,0.03563069071853499,,NLPConcatHeadsDeviceOperation,3,3.986,0.55,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,254979.0,
1001,0.17977945733578266,SLOW,MatmulDeviceOperation 512 x 192 x 768,1,6.956,15.931,64.0,162.52098907418053,31.742380678550887,21.70715123634272,12.26758673567184,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,256001.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1003,1.0679054511029253,,ReduceScatterMinimalAsyncDeviceOperation,0,29.53075,106.42,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257024.0,
1007,0.08656309782148491,,BinaryNgDeviceOperation,3,2.31,8.71,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,258051.0,
1014,0.3698726485590072,,BinaryNgDeviceOperation,0,2.153,44.934,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,259072.0,
1015,0.2740405438927535,,LayerNormDeviceOperation,3,19.316,15.571,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,260099.0,
1022,0.31911305344807844,SLOW,MatmulDeviceOperation 128 x 768 x 2048,0,32.662,7.963,32.0,70.22717531075868,13.716245177882556,12.327879003122895,13.933963355309261,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,261120.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1025,0.139357161383935,SLOW,MatmulDeviceOperation 128 x 2048 x 768,1,17.169,0.572,32.0,133.59892830100762,26.09354068379055,23.452337585182594,26.507723869247542,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,262145.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1027,0.050516087303989966,,BinaryNgDeviceOperation,3,2.127,4.304,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,263171.0,
1032,0.2859881366138496,,LayerNormDeviceOperation,2,19.375,17.033,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,264194.0,
1035,0.43757567397855157,,AllGatherAsyncDeviceOperation,0,20.885,34.821,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,265216.0,
1041,0.09970466430563592,SLOW,MatmulDeviceOperation 512 x 768 x 576,1,12.206,0.487,72.0,148.99426511551692,29.100442405374398,37.11165262985416,18.642926065505122,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,2,2,266241.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1045,0.07451338892328546,,NlpCreateHeadsDeviceOperation,1,8.801,0.685,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,267265.0,
1049,0.3173849335278673,,SDPAOperation,1,28.307,12.098,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,268289.0,
1054,0.03278714794073302,,NLPConcatHeadsDeviceOperation,0,3.513,0.661,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,269312.0,
1058,0.11180150374711385,SLOW,MatmulDeviceOperation 512 x 192 x 768,0,6.973,7.26,64.0,162.12476695826757,31.664993546536635,21.654229743295566,12.23767866532817,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,270336.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1059,0.9368432653360039,,ReduceScatterMinimalAsyncDeviceOperation,0,29.96775,89.298,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,271360.0,
1063,0.0892181184261729,,BinaryNgDeviceOperation,3,2.299,9.059,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,272387.0,
1068,0.3133002864437318,,BinaryNgDeviceOperation,2,2.239,37.646,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,273410.0,
1071,0.30335574181197145,,LayerNormDeviceOperation,3,19.276,19.343,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,274435.0,
1078,0.32518503844045654,SLOW,MatmulDeviceOperation 128 x 768 x 2048,0,32.683,8.715,32.0,70.18205183122723,13.707431998286568,12.319957898601716,13.925010283973657,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,275456.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1080,0.13866591341585052,SLOW,MatmulDeviceOperation 128 x 2048 x 768,2,17.119,0.534,32.0,133.9891348793738,26.169752906127698,23.520835562824928,26.585145809399563,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,276482.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1083,0.04224467695861577,,BinaryNgDeviceOperation,3,2.108,3.27,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,277507.0,
1088,0.24188180319573363,,LayerNormDeviceOperation,2,19.288,11.505,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,278530.0,
1091,0.9253787606835123,,AllGatherAsyncDeviceOperation,0,20.92825,96.878,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,279552.0,
1098,0.09876205344006622,SLOW,MatmulDeviceOperation 512 x 768 x 576,0,12.002,0.571,72.0,151.52674554240957,29.59506748875187,37.74244559240127,18.959802995796995,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,2,2,280576.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1102,0.07421489548252172,,NlpCreateHeadsDeviceOperation,0,8.821,0.627,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,281600.0,
1106,0.33131986415720616,,SDPAOperation,0,28.207,13.972,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,282624.0,
1109,0.03356480190482804,,NLPConcatHeadsDeviceOperation,1,3.627,0.646,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,283649.0,
1112,0.23314694250812099,SLOW,MatmulDeviceOperation 512 x 192 x 768,2,7.05,22.631,64.0,160.3540425531915,31.319148936170215,21.41772255319149,12.10401891252955,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,284674.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1115,1.0704583555305098,,ReduceScatterMinimalAsyncDeviceOperation,0,29.52375,106.752,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,285696.0,
1119,0.08982296039824682,,BinaryNgDeviceOperation,3,2.282,9.153,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,286723.0,
1124,0.3101111196818877,,BinaryNgDeviceOperation,2,2.222,37.257,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,287746.0,
1129,0.2767112746785343,,LayerNormDeviceOperation,1,19.307,15.92,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,288769.0,
1134,0.3442729084682432,SLOW,MatmulDeviceOperation 128 x 768 x 2048,0,32.691,11.137,32.0,70.16487718332262,13.704077574867698,12.31694301183812,13.921602615738616,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,289792.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1135,0.1389722619471607,SLOW,MatmulDeviceOperation 128 x 2048 x 768,3,17.15,0.542,32.0,133.74693877551022,26.122448979591837,23.478319766763846,26.537091026886944,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,3,290819.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1139,0.02613388624792017,,BinaryNgDeviceOperation,3,2.161,1.166,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,291843.0,
1146,0.248032339093576,,LayerNormDeviceOperation,0,19.296,12.28,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,292864.0,
1147,0.6218718083785224,,AllGatherAsyncDeviceOperation,0,20.986,58.182,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,293888.0,
1152,0.09641338136668835,SLOW,MatmulDeviceOperation 512 x 768 x 576,2,11.819,0.455,72.0,153.8729164903968,30.05330400203062,38.326832388526945,19.25336792922883,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,4,2,2,294914.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 2x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1157,0.07411277930541832,,NlpCreateHeadsDeviceOperation,1,8.761,0.674,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,295937.0,
1160,0.3280207261277121,,SDPAOperation,2,28.379,13.38,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,296962.0,
1163,0.034193209148541175,,NLPConcatHeadsDeviceOperation,3,3.803,0.55,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,297987.0,
1168,0.0862881696523604,SLOW,MatmulDeviceOperation 512 x 192 x 768,2,6.836,4.149,64.0,165.37390286717377,32.29959040374488,22.088201287302514,12.482933489370001,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,3,1,3,299010.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=3 and output subblock 1x3 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
1171,0.9290490517413242,,ReduceScatterMinimalAsyncDeviceOperation,0,29.6995,88.574,12,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,300032.0,
1175,0.09080484671654857,,BinaryNgDeviceOperation,3,2.284,9.276,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,301059.0,
1182,0.30783314342342755,,BinaryNgDeviceOperation,0,2.306,36.883,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,302080.0,
1185,0.2663032797045355,,LayerNormDeviceOperation,1,19.236,14.666,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,303105.0,
1188,0.3228442214576252,SLOW,MatmulDeviceOperation 128 x 768 x 2048,2,32.584,8.516,32.0,70.39528602995334,13.749079302725262,12.357389639086666,13.967318656736774,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,8,1,2,304130.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=8 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
