ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1020,0.008682432448962982,,InterleavedToShardedDeviceOperation,0,1.597,,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,903168.0
1021,0.07903894987039689,,LayerNormDeviceOperation,0,9.537,5.001,10,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,904192.0
1022,0.017430105467360877,,ShardedToInterleavedDeviceOperation,0,1.831,1.375,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,905216.0
1023,1.4305462761416925,DRAM,MatmulDeviceOperation 32 x 5120 x 10240,0,262.594,0.533,107.0,405.55382072705396,79.20973061075273,12.77806499767702,8.638684042432653,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,906240.0
1024,0.8107880500806184,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,148.613,0.519,96.0,428.195756764213,83.63198374301035,13.547037742324022,10.207969942313506,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,907264.0
1025,0.16956023996133843,SLOW,MatmulDeviceOperation 32 x 5120 x 128,0,30.561,0.627,4.0,97.03556820784661,18.95225941559504,1.372436765812637,24.8198199835908,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,5,1,1,908288.0
1026,0.012004264776023961,,SliceDeviceOperation,0,1.596,0.612,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,909312.0
1027,0.012553372902101144,,SliceDeviceOperation,0,1.555,0.754,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,910336.0
1028,0.021192311638107513,,UnaryDeviceOperation,0,3.377,0.521,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,911360.0
1029,0.027955584002860145,,UnaryDeviceOperation,0,4.616,0.526,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,912384.0
1030,0.016995168337794794,,BinaryNgDeviceOperation,0,2.611,0.515,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,913408.0
